lat,long,city,country,lookup,temp,hum,wind,cloud,name
85.44254984281673,72.33461462657326,dikson,ru,"dikson,ru",-2.11,90.0,5.61,0.0,"Dikson, RU"
-6.632857895302806,37.85571338436526,morogoro,tz,"morogoro,tz",75.2,88.0,11.41,75.0,"Morogoro, TZ"
60.75811600104967,-126.58675350749783,fort nelson,ca,"fort nelson,ca",6.8,84.0,4.7,75.0,"Fort Nelson, CA"
-46.761485334300176,67.62576171773799,saint-philippe,re,"saint-philippe,re",68.52,83.0,2.24,90.0,"Saint-Philippe, RE"
86.93051745896696,167.4458318539352,pevek,ru,"pevek,ru",6.93,58.0,1.36,0.0,"Pevek, RU"
-62.43452747269761,25.587207699744,kruisfontein,za,"kruisfontein,za",61.93,90.0,5.91,98.0,"Kruisfontein, ZA"
47.43154948197753,-61.50458256367071,cap-aux-meules,ca,"cap-aux-meules,ca",39.2,64.0,19.46,75.0,"Cap-aux-Meules, CA"
52.234664366603965,103.06073458821635,mishelevka,ru,"mishelevka,ru",0.54,82.0,14.5,100.0,"Mishelevka, RU"
21.97822384975605,66.94411992363081,dwarka,in,"dwarka,in",64.4,77.0,6.93,40.0,"Dwarka, IN"
-1.7254329889488105,-6.770415800138153,harper,lr,"harper,lr",73.99,94.0,1.83,83.0,"Harper, LR"
-40.0189243506452,-62.20068280419464,viedma,ar,"viedma,ar",64.11,41.0,9.57,67.0,"Viedma, AR"
32.10087406014523,81.59804896416114,dharchula,in,"dharchula,in",52.03,27.0,2.21,100.0,"Dharchula, IN"
10.444251044240005,108.67443382887774,phan thiet,vn,"phan thiet,vn",82.58,67.0,3.06,96.0,"Phan Thiet, VN"
-14.260492718905567,101.38206431161024,palabuhanratu,id,"palabuhanratu,id",,,,,
2.1940333024156473,-152.69750215126052,hilo,us,"hilo,us",75.65,62.0,5.82,75.0,"Hilo, US"
84.80907696134898,49.53489313291752,belushya guba,ru,"belushya guba,ru",,,,,
25.373008199449075,97.52977519371564,myitkyina,mm,"myitkyina,mm",78.62,50.0,0.76,2.0,"Myitkyina, MM"
-87.17785016366506,100.49397643646824,albany,au,"albany,au",73.4,60.0,16.11,0.0,"Albany, AU"
-70.65385539682407,-44.78588496301563,ushuaia,ar,"ushuaia,ar",42.8,93.0,8.05,20.0,"Ushuaia, AR"
-74.88813947107057,140.0652217705719,hobart,au,"hobart,au",57.49,35.0,24.16,75.0,"Hobart, AU"
61.996008650126385,27.259859460006197,mikkeli,fi,"mikkeli,fi",28.99,96.0,1.99,0.0,"Mikkeli, FI"
1.916465783367343,64.64943095598073,kudahuvadhoo,mv,"kudahuvadhoo,mv",76.59,93.0,5.44,100.0,"Kudahuvadhoo, MV"
87.7722551017772,-28.73453290569995,illoqqortoormiut,gl,"illoqqortoormiut,gl",,,,,
